course_id,short_name,long_name,account_id,term_id,start_date,end_date,status
TEMPLATE-EssentialEngineeringPrinciplesandApplicationsforSuccessfulProjectManagement,TEMPLATE-Essential Engineering: Principles and Applications for Successful Project Management,TEMPLATE-Essential Engineering: Principles and Applications for Successful Project Management,Templates,Templates,,,active
TEMPLATE-InterdisciplinaryApproachesinLiteraryAnalysisExploringThemesandContexts,TEMPLATE-Interdisciplinary Approaches in Literary Analysis: Exploring Themes and Contexts,TEMPLATE-Interdisciplinary Approaches in Literary Analysis: Exploring Themes and Contexts,Templates,Templates,,,active
TEMPLATE-IntermediateEnglishGrammarExploringConceptsandStructures(CourseCodeENG134),TEMPLATE-Intermediate English Grammar: Exploring Concepts and Structures (Course Code: ENG134),TEMPLATE-Intermediate English Grammar: Exploring Concepts and Structures (Course Code: ENG134),Templates,Templates,,,active
TEMPLATE-AdvancedEnglishLiteratureandComposition,TEMPLATE-Advanced English: Literature and Composition,TEMPLATE-Advanced English: Literature and Composition,Templates,Templates,,,active
TEMPLATE-CombatingOnlineFraudUnderstandingandMitigating419ScamsthroughEnglishCommunicationSkills,TEMPLATE-Combating Online Fraud: Understanding and Mitigating 419 Scams through English Communication Skills,TEMPLATE-Combating Online Fraud: Understanding and Mitigating 419 Scams through English Communication Skills,Templates,Templates,,,active
TEMPLATE-InteractiveDigitalStorytellingNavigatingCreativeWritingandMediaIntegration,TEMPLATE-Interactive Digital Storytelling: Navigating Creative Writing and Media Integration,TEMPLATE-Interactive Digital Storytelling: Navigating Creative Writing and Media Integration,Templates,Templates,,,active
TEMPLATE-EngagingwithLanguageExploringLiteraryandCommunicativeFoundations,TEMPLATE-Engaging with Language: Exploring Literary and Communicative Foundations,TEMPLATE-Engaging with Language: Exploring Literary and Communicative Foundations,Templates,Templates,,,active
TEMPLATE-EcoInnovationSustainableSolutionsandEnvironmentalStewardship,TEMPLATE-Eco Innovation: Sustainable Solutions and Environmental Stewardship,TEMPLATE-Eco Innovation: Sustainable Solutions and Environmental Stewardship,Templates,Templates,,,active
TEMPLATE-Eco-SustainableBusinessPracticesStrategiesandImplementation,TEMPLATE-Eco-Sustainable Business Practices: Strategies and Implementation,TEMPLATE-Eco-Sustainable Business Practices: Strategies and Implementation,Templates,Templates,,,active
TEMPLATE-ExploringHumanBehaviorAnIntroductiontoPsychology(CourseID167),TEMPLATE-Exploring Human Behavior: An Introduction to Psychology (Course ID: 167),TEMPLATE-Exploring Human Behavior: An Introduction to Psychology (Course ID: 167),Templates,Templates,,,active
TEMPLATE-AdvancedMathematicalAnalysisTechniquesandApplications,TEMPLATE-Advanced Mathematical Analysis: Techniques and Applications,TEMPLATE-Advanced Mathematical Analysis: Techniques and Applications,Templates,Templates,,,active
TEMPLATE-AdvancedMathematicsConceptsandApplications(MAT111),TEMPLATE-Advanced Mathematics: Concepts and Applications (MAT 111),TEMPLATE-Advanced Mathematics: Concepts and Applications (MAT 111),Templates,Templates,,,active
TEMPLATE-IntroductiontoLinearAlgebraandMatrixMathematics(MAT293),TEMPLATE-Introduction to Linear Algebra and Matrix Mathematics (MAT 293),TEMPLATE-Introduction to Linear Algebra and Matrix Mathematics (MAT 293),Templates,Templates,,,active
TEMPLATE-DigitalArtistryMasteringAugmentedRealityTechniquesandApplications,TEMPLATE-Digital Artistry: Mastering Augmented Reality Techniques and Applications,TEMPLATE-Digital Artistry: Mastering Augmented Reality Techniques and Applications,Templates,Templates,,,active
TEMPLATE-InnovativeArtistryMasteringAugmentedRealityTechniques,TEMPLATE-Innovative Artistry: Mastering Augmented Reality Techniques,TEMPLATE-Innovative Artistry: Mastering Augmented Reality Techniques,Templates,Templates,,,active
TEMPLATE-ArtistryandInnovationExploringArtThroughAugmentedReality,TEMPLATE-Artistry and Innovation: Exploring Art Through Augmented Reality,TEMPLATE-Artistry and Innovation: Exploring Art Through Augmented Reality,Templates,Templates,,,active
TEMPLATE-MasteringAugmentedRealityArtTechniquesToolsandCreativity,"TEMPLATE-Mastering Augmented Reality Art: Techniques, Tools, and Creativity","TEMPLATE-Mastering Augmented Reality Art: Techniques, Tools, and Creativity",Templates,Templates,,,active
TEMPLATE-MasteringDigitalArtExploringAugmentedRealityTechniques,TEMPLATE-Mastering Digital Art: Exploring Augmented Reality Techniques,TEMPLATE-Mastering Digital Art: Exploring Augmented Reality Techniques,Templates,Templates,,,active
TEMPLATE-ExploringtheCanvasofVirtualRealityAComprehensiveIntroductiontoAugmentedArtistry,TEMPLATE-Exploring the Canvas of Virtual Reality: A Comprehensive Introduction to Augmented Artistry,TEMPLATE-Exploring the Canvas of Virtual Reality: A Comprehensive Introduction to Augmented Artistry,Templates,Templates,,,active
TEMPLATE-MasteringAugmentedRealityExploringCreativeTechniquesandApplications,TEMPLATE-Mastering Augmented Reality: Exploring Creative Techniques and Applications,TEMPLATE-Mastering Augmented Reality: Exploring Creative Techniques and Applications,Templates,Templates,,,active
